"filename", "language", "PostCSS", "PHP", "JavaScript", "Markdown", "MS SQL", "JSON", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\scaneat\controllers\details_recette_controller.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 2, 6, 17
"c:\xampp\htdocs\scaneat\controllers\frigo_controller.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 2, 5, 21
"c:\xampp\htdocs\scaneat\controllers\inscription_controller.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 2, 6, 29
"c:\xampp\htdocs\scaneat\controllers\liste_recette_controller.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 4, 4, 27
"c:\xampp\htdocs\scaneat\controllers\mon_profil_controller.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 5, 5, 19
"c:\xampp\htdocs\scaneat\controllers\notification_controller.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 1, 5, 24
"c:\xampp\htdocs\scaneat\controllers\realisation_recette_controller.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 5, 6, 30
"c:\xampp\htdocs\scaneat\controllers\recuperation_controller.php", "PHP", 0, 47, 0, 0, 0, 0, 0, 6, 14, 67
"c:\xampp\htdocs\scaneat\controllers\retirer_favoris_controller.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 3, 4, 17
"c:\xampp\htdocs\scaneat\controllers\réinitialisation_controller.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 3, 5, 11
"c:\xampp\htdocs\scaneat\controllers\scanner_controller.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 3, 6, 26
"c:\xampp\htdocs\scaneat\controllers\search_controller.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 2, 6, 21
"c:\xampp\htdocs\scaneat\controllers\supprimer_produit_controller.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 11, 12, 36
"c:\xampp\htdocs\scaneat\envoi_mail.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\scaneat\index.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\xampp\htdocs\scaneat\models\accueil_model.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\xampp\htdocs\scaneat\models\ajout_produit_frigo_model.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\xampp\htdocs\scaneat\models\connexion_model.php", "PHP", 0, 34, 0, 0, 0, 0, 0, 0, 13, 47
"c:\xampp\htdocs\scaneat\models\db_connect.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 3, 6
"c:\xampp\htdocs\scaneat\models\favoris_model.php", "PHP", 0, 35, 0, 0, 0, 0, 0, 2, 6, 43
"c:\xampp\htdocs\scaneat\models\frigo_model.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\xampp\htdocs\scaneat\models\notification_model.php", "PHP", 0, 2, 0, 0, 0, 0, 0, 0, 3, 5
"c:\xampp\htdocs\scaneat\models\openfooddata_connect.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\xampp\htdocs\scaneat\models\recette_model.php", "PHP", 0, 137, 0, 0, 0, 0, 0, 14, 21, 172
"c:\xampp\htdocs\scaneat\models\recuperation_model.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 1, 4, 30
"c:\xampp\htdocs\scaneat\models\réinitialisation_model.php", "PHP", 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"c:\xampp\htdocs\scaneat\models\scan_model.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 1, 5, 25
"c:\xampp\htdocs\scaneat\models\supprimer_produit_frigo_model.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\xampp\htdocs\scaneat\models\user_model.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 20, 3, 40
"c:\xampp\htdocs\scaneat\notification\app.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 2, 3, 58
"c:\xampp\htdocs\scaneat\public\js\script_liste_recette.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 2, 2, 29
"c:\xampp\htdocs\scaneat\public\styles\accueil.css", "PostCSS", 100, 0, 0, 0, 0, 0, 0, 1, 9, 110
"c:\xampp\htdocs\scaneat\public\styles\common.css", "PostCSS", 34, 0, 0, 0, 0, 0, 0, 1, 0, 35
"c:\xampp\htdocs\scaneat\public\styles\details_recette.css", "PostCSS", 51, 0, 0, 0, 0, 0, 0, 0, 0, 51
"c:\xampp\htdocs\scaneat\public\styles\frigo.css", "PostCSS", 164, 0, 0, 0, 0, 0, 0, 0, 8, 172
"c:\xampp\htdocs\scaneat\public\styles\liste_recette.css", "PostCSS", 142, 0, 0, 0, 0, 0, 0, 2, 4, 148
"c:\xampp\htdocs\scaneat\public\styles\mon_profil.css", "PostCSS", 83, 0, 0, 0, 0, 0, 0, 0, 2, 85
"c:\xampp\htdocs\scaneat\public\styles\scanner.css", "PostCSS", 89, 0, 0, 0, 0, 0, 0, 0, 9, 98
"c:\xampp\htdocs\scaneat\readme.md", "Markdown", 0, 0, 0, 170, 0, 0, 0, 0, 19, 189
"c:\xampp\htdocs\scaneat\style.css", "PostCSS", 115, 0, 0, 0, 0, 0, 0, 5, 28, 148
"c:\xampp\htdocs\scaneat\sw.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 1, 3, 16
"c:\xampp\htdocs\scaneat\views\accueil_view.php", "PHP", 0, 78, 0, 0, 0, 0, 0, 1, 4, 83
"c:\xampp\htdocs\scaneat\views\authentification.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 6, 39
"c:\xampp\htdocs\scaneat\views\connexion.php", "PHP", 0, 49, 0, 0, 0, 0, 0, 0, 6, 55
"c:\xampp\htdocs\scaneat\views\details_recette_view.php", "PHP", 0, 82, 0, 0, 0, 0, 0, 0, 0, 82
"c:\xampp\htdocs\scaneat\views\frigo_view.php", "PHP", 0, 128, 0, 0, 0, 0, 0, 2, 21, 151
"c:\xampp\htdocs\scaneat\views\header_org.php", "PHP", 0, 57, 0, 0, 0, 0, 0, 1, 7, 65
"c:\xampp\htdocs\scaneat\views\inscription_view.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 10, 51
"c:\xampp\htdocs\scaneat\views\liste_recette_view.php", "PHP", 0, 106, 0, 0, 0, 0, 0, 0, 4, 110
"c:\xampp\htdocs\scaneat\views\mon_profil_view.php", "PHP", 0, 59, 0, 0, 0, 0, 0, 0, 8, 67
"c:\xampp\htdocs\scaneat\views\nav_bar.php", "PHP", 0, 59, 0, 0, 0, 0, 0, 1, 8, 68
"c:\xampp\htdocs\scaneat\views\recuperation.php", "PHP", 0, 43, 0, 0, 0, 0, 0, 0, 6, 49
"c:\xampp\htdocs\scaneat\views\réinitialisation.php", "PHP", 0, 43, 0, 0, 0, 0, 0, 0, 8, 51
"c:\xampp\htdocs\scaneat\views\scanner_view.php", "PHP", 0, 138, 0, 0, 0, 0, 0, 2, 16, 156
"Total", "-", 778, 7097, 90, 385, 34, 80, 11, 3599, 1347, 13421
